part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,,,Keine Ganzjahresreifen montiert.,No all-season tires mounted.,,
,,,,,,Kante vorne.mit Korrosion.,Edge front. With corrosion.,,
,,,,,,2.Bauteile,2.Cons,,
,,,,,,Kugelschreiberstriche. Schadenerweiterung moeglich.,Ballpoint strokes. Damage extension possible.,,
,,,,,,Untere Haelfte.,Bottom half.,,
,,,,,,"Und nicht fachgerecht Instandgesetzt, siehe Lackwerte","And not properly repaired, see paint values",,
,,,,,,Im Knick,Knot,,
,,,,,,unterer hinterer Bereich,Lower rear area,,
,,,,,,nachlackiert mit Staubeinschluessen,Racked with dust inclusion,,
,,,,,,linker Bereich mit Lacklaeufern und Kratzspuren,Left area with lacquer lanes and scratch marks,,
,,,,,,Staubeinschluesse und Korrosion,Dust inclusion and corrosion,,
,,,,,,& Dellen,& Dellen,,
,,,,,,Rueckleuchte rechts,Refreck light right,,
,,,,,,Korossion,Corosion,,
,,,,,,Maderschreck,Mader,,
,,,,,,Ablage Reserverad,Storage Reserverad,,
,,,,,,Sommer Kanten abgefahren,Summer edges left,,
,,,,,,Spritzdueseneinheit rechts,Spray diore unit right,,
,,,,,,Winterreifen statt Sommerreifen montiert,Winter tires instead of summer tires mounted,,
,,,,,,"VL, Nagel im Reifen, 205/60R16","VL, nail in the tire, 205 / 60R16",,
,,,,,,Und Tuerkante,And tuer,,
,,,,,,Und innen,And inside,,
,,,,,,innen und außen,inside and outside,,
,,,,,,"Mit Rissbildung, i Fahrersichtfeld","With cracking, I driver's vision field",,
,,,,,,Kratzer mit Korrosionsantrag,Scratches with corrosion application,,
,,,,,,Angeschliffen,Sandwich,,
,,,,,,Parksensor innen rechts,Park sensor inside right,,
,,,,,,verformt und,deformed and,,
,,,,,,Gepaecksicherung,Luggage protection,,
,,,,,,Rollo Seitenfenster,Rollo side window,,
,,,,,,30/20mm,30 / 20mm,,
,,,,,,"Farbton passt nicht, Dellen, welliger Untergrund","Color does not fit, dents, wavy ground",,
,,,,,,Platt,Flat,,
,,,,,,mit Rostbildung,with rusting,,
,,,,,,Ca. 2 Dellen,About 2 dents,,
,,,,,,"Links, abnehmbarer Deckel","Left, removable lid",,
,,,,,,Unterschiedliche Hersteller auf einer Achse,Different manufacturers on an axis,,
,,,,,,2 unterschiedliche Reifen auf der VA,2 different tires on the VA,,
,,,,,,Amaturenbrett Zierleiste,Temittelboard trim,,
,,,,,,3xneu 1xsmartrepair,3xNEW 1XSMARTREPAIR,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Tuer hi.re. Vorbehaltlich Folgekosten,Tuer hi.re. Subject to follow-up costs,,
,,,,,,OElstand. Vorbehaltlich Folgekosten,Oil level. Subject to follow-up costs,,
,,,,,,seit 03.2020,since 03.2020,,
,,,,,,Schadenausweitungen moeglich,Damage extensions possible,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Mattstelle,Mat,,
,,,,,,VL und HL,VL and HL,,
,,,,,,und links,and left,,
,,,,,,"gestaucht, Lackoberflaeche gerissen, Mehrkosten moeglich","Compressed, lacquer surface torn, additional costs possible",,
,,,,,,Ohne OElservice,Without oelservice,,
,,,,,,Unterkante Heckklappe,Lower edge tailgate,,
,,,,,,OElwechsel in 800 km,Oil change at 800 km,,
,,,,,,und Korossion,and corosion,,
,,,,,,und Korrosion,and corrosion,,
,,,,,,Rueckstrahler,Reflexion,,
,,,,,,Alublende,Aluminum,,
,,,,,,Profildiffererenz max 2 mm,Profile differentence max 2 mm,,
,,,,,,Starke Orangenhaut sichtbar,Strong orange skin visible,,
,,,,,,2 Ganzjahresreifen 3mm,2 year-round tires 3mm,,
,,,,,,/Getriebeseitig OEl,/ Transmission side oil,,
,,,,,,Blende lose,Aperture loose,,
,,,,,,Außenflanke abgefahren,Towering outer flank,,
,,,,,,Und Kratzer,And scratch,,
,,,,,,Nicht behobener Anfahrschaden,Unresolved starting damage,,
,,,,,,verbissen,bilefly,,
,,,,,,eingelaufen,infected,,
,,,,,,leichter Anfahraschaden / Druckstellen,Lightweight startup damage / pressure points,,
,,,,,,Batterie Fernbedienung,Battery remote control,,
,,,,,,Veraetzung durch Harzreste,Contribution by resin residues,,
,,,,,,Ca. 9 Dellen,About 9 dents,,
,,,,,,Lackschaden.,Paint damage.,,
,,,,,,"Halter deformiert, ev Folgekosten moeglich","Holder deformed, eV follow-up costs possible",,
,,,,,,"OElverlust, Mehrkosten moeglich","Oil loss, additional costs possible",,
,,,,,,Schimmelbefall,Mold,,
,,,,,,Außenseite abgefahren,Turned out of the outside,,
,,,,,,seit 5600km oder 65 Tagen.,For 5600km or 65 days.,,
,,,,,,"Lackveraetzung, Korrosion.","Lacquer composition, corrosion.",,
,,,,,,mit Rostansaetze,with rustetta,,
,,,,,,Geschwindichkeitsindex zu gering,Speeding index too low,,
,,,,,,"Starke Lackmaengel, Kostenerweiterung moeglich","Strong varnish maens, cost expansion possible",,
,,,,,,#NAME?,#NAME?,,
,,,,,,negatives Tragbild,negative support picture,,
,,,,,,Innen unten,In the bottom,,
,,,,,,Verformt mit,Deform,,
,,,,,,Chromrahmen,Chrome frame,,
,,,,,,"Glanzgedreht, Form veraendert","Gloss, shape changed",,
,,,,,,Rollt nicht mehr auf,Do not roll up anymore,,
,,,,,,Links + rechts,Left + right,,
,,,,,,Mit Heizelement,With heating element,,
,,,,,,unterschiedliche Hersteller,Different manufacturers,,
,,,,,,09/ 2019,09/2019,,
,,,,,,06/ 2020,06/2020,,
,,,,,,KV erforderlich,KV required,,
,,,,,,Schlechtes Lackbild,Bad lacquer picture,,
,,,,,,"Hinten rechts, Kaugummi","Rear right, chewing gum",,
,,,,,,links + rechts,Left + right,,
,,,,,,Lackrisse und Druckstellen,Paint cracks and pressure points,,
,,,,,,Inkl. Ladekante,Incl. Loading edge,,
,,,,,,Beklebung,Clip,,
,,,,,,Lackschicht nicht mehr messbar,Lack layer no longer measurable,,
,,,,,,& verkratzt.,& scratching.,,
,,,,,,Tragbild beeintraechtigt.,Load picture impresses.,,
,,,,,,Lack loest sich ab,Lack liest,,
,,,,,,Bedieneinheit,Control unit,,
,,,,,,hinten rechts Abdeckung,Rear right cover,,
,,,,,,hinten links Abdeckung,rear left cover,,
,,,,,,Mindestprofiltiefe 4 mm,Minimum profile depth 4 mm,,
,,,,,,Mindestprofiltiefe 4mm,Minimum profile depth 4mm,,
,,,,,,Gehaeuse,Casing,,
,,,,,,Kante unten leicht verformt.,Edge down slightly deformed.,,
,,,,,,Kante.,Edge.,,
,,,,,,"Unten leicht verschuerft/matt, kein dir. Sichtbereich.","Slightly shuffled down / matt, no you. Visual area.",,
,,,,,,inkl. Lufteinlassgitter,incl. Air intake grille,,
,,,,,,In der Kante,In the edge,,
,,,,,,Wechsel,Change,,
,,,,,,> 2 mm,> 2 mm,,
,,,,,,Inspektion und OElwechsel,Inspection and oil change,,
,,,,,,Stoßfaenger hinten links + mitte,Shock Fenger rear left + middle,,
,,,,,,Schnitt,cut,,
,,,,,,Profildifferenz an einer Achse max 2mm laut Hersteller,Profile difference on an axis max 2mm loud manufacturer,,
,,,,,,Marderschreck verbaut,Mardrack installed,,
,,,,,,Innenverkleidung links,Interior cladding left,,
,,,,,,Innenenverkleidung rechts,Inner panel right,,
,,,,,,Steckt ein Nagel drin,Is a nail in it,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Blende vorne,Hide front,,
,,,,,,Ca 1. Delle,Ca 1. Delle,,
,,,,,,Ca. 10 Dellen,About 10 dents,,
,,,,,,Und rechts,And right,,
,,,,,,Kratzer Tuev VR und HR auslegen und polieren,Scratch Tuev VR and HR laying and polishing,,
,,,,,,Vorn und hinten,Front and back,,
,,,,,,"Druecken,lackieren","Protect, paint",,
,,,,,,"UEbergang, Orangenhaut","Transition, orange skin",,
,,,,,,Absplitterungen im Sichtbereicht,Sectional chipping,,
,,,,,,Stoßfaenger vorne Chromleiste rechts,Shock Fenger front chrome bar right,,
,,,,,,OElsensor,Ollensor,,
,,,,,,Lack blaettert ab,Lacquer Blaettert,,
,,,,,,05.2020 faellig,05.2020 Faellig,,
,,,,,,Schweller Einstieg rechts,Schweller entry right,,
,,,,,,Griff Boden,Handle,,
,,,,,,Lackunterschied,Paint difference,,
,,,,,,Alle vier verschiebbaren Verzurroesen fehlen,All four sliding turquooses are missing,,
,,,,,,Verschiebbar,Slidable,,
,,,,,,"schleifen, polieren","Grinding, polishing",,
,,,,,,"Diverse Staubeinschluesse, Lack verlaufen","Various dust closure, varnish",,
,,,,,,PDC Sensor,PDC sensor,,
,,,,,,Mittelteil,Middle section,,
,,,,,,OElstand n.io.,Oilstand N.IO.,,
,,,,,,Lack auslegen und polieren,Lay out paint and polish,,
,,,,,,Dachhimmel links hinten innen,Roof sky left behind inside,,
,,,,,,"Schleifspuren sichtbar, Lackmangel, klarlackkante","Grinding tracks visible, paint deficiency, clear coating edge",,
,,,,,,Regalsystem montiert,Shelving system mounted,,
,,,,,,1 ×Abgefahrene 1× Nagel,1 × offset 1 × nail,,
,,,,,,Klebereste / Scheuerstellen,Adhesive / scaffolding,,
,,,,,,Spoiler,spoiler,,
,,,,,,verkratzt / verschuerft,scratched / shot,,
,,,,,,zu nah am Rand fuer Rep.,Too close to the edge for Rep.,,
,,,,,,2mm Profil,2mm profile,,
,,,,,,Regaleinbau Sortimo,Shelf installation sortimo,,
,,,,,,Tragfaehigkeit zu gering,Trapping too low,,
,,,,,,Signalanlage verbaut,Signal system installed,,
,,,,,,Ca 30 dellen,About 30 dents,,
,,,,,,Tuerverkleidung vo li,Tuerverklung vo Li,,
,,,,,,Armauflage,Armrest,,
,,,,,,Steinschlag im Fahrersichtfeld,Rockfall in the driver's vision field,,
,,,,,,Hologramme,Holograms,,
,,,,,,"Oberflaechlichenkratzer, schleifen und polieren","Oberfläichliche scraper, grinding and polishing",,
,,,,,,<4mm,<4mm,,
,,,,,,Leicht verformt und,Slightly deformed and,,
,,,,,,und Griff,and grip,,
,,,,,,"Kratzer fuehlbar, ev gedrueckt.","Scratches effluish bar, eV.",,
,,,,,,"Batterie, Mehrkosten moeglich","Battery, additional costs possible",,
,,,,,,Achtung Allradantrieb,Attention all-wheel drive,,
,,,,,,Tragbild und verschließen,Load and close,,
,,,,,,Inkl Heckspoiler,Incl tail spoiler,,
,,,,,,Schwarz Glanz,Black shine,,
,,,,,,Riefenbildung,Shouting,,
,,,,,,Beide Seiten,Both sides,,
,,,,,,Tuer hinten links,Door in the back left,,
,,,,,,vorn links,front left,,
,,,,,,Geraeuschdaempfung,Gauger,,
,,,,,,Lack loest sich,Lack liest,,
,,,,,,Knick Kante hinten.,Knick edge behind.,,
,,,,,,"Winterraeder, 3 mm Profiltiefe","Winterraeder, 3 mm tread depth",,
,,,,,,Batterie wechseln,Change battery,,
,,,,,,Undichtigkeit. Kosten muessen ueber Service ermittelt werden.,League. Costs must be determined via service.,,
,,,,,,Wasser im Kofferraumboden,Water in the trunk floor,,
,,,,,,Wellig und Schleifspuren,Wavy and grinding tracks,,
,,,,,,vorn links beschaedigt erneuern,Renew front left in front,,
,,,,,,Aluminiumblende verkratzt erneuern,Renew aluminum diaphragm scratch,,
,,,,,,"Batterie, vorbehaltlich Folgekosten","Battery, subject to follow-up costs",,
,,,,,,Lacklaeufer + Kratzer,Lacklaeufer + scratches,,
,,,,,,Abdeckkappe,Cap,,
,,,,,,Reifenflanke abgefahren,Tire flank left,,
,,,,,,Falsche Reifendimension verbaut,Wrong tire dimension installed,,
,,,,,,Hersteller muss Achsweise identisch sein,Manufacturer must be identical along the same,,
,,,,,,Ca. 32 Dellen,About 32 dents,,
,,,,,,Faehrt nach Schließbefehl von alleine wieder auf,Failed on after the closing command from alone,,
,,,,,,Rollt nicht mehr ein.,Do not roll anymore.,,
,,,,,,12/ 2019,12/2019,,
,,,,,,01/ 2019,01/2019,,
,,,,,,mit Kratzern,scratch,,
,,,,,,Handschaltung,Manual transmission,,
,,,,,,Handbremse,Handbrake,,
,,,,,,Scheibe HL,DISC HL,,
,,,,,,Innenseitig abgelaufen (Sommerreifen),Outer axes expired (summer tires),,
,,,,,,Druckstellen. Mehrkosten moeglich.,Pressures. Additional costs possible.,,
,,,,,,Befestigung,Attachment,,
,,,,,,und Tankklappe,and tank flap,,
,,,,,,Hinterkante,Trail,,
,,,,,,75/20,75/20,,
,,,,,,Farbtonunterschied,Color difference,,
,,,,,,Schleifriefe,Slurry,,
,,,,,,Falsche Groeße,Wrong size,,
,,,,,,"Auslegen, polieren","Lay out, polish",,
,,,,,,"Schleifen,polieren","Grinding, polishing",,
,,,,,,"Sommerreifen, Profil ausgewaschen","Summer tires, profile washed out",,
,,,,,,Winter <4mm,Winter <4mm,,
,,,,,,2 Sommerreifen vorhanden,2 summer tires available,,
,,,,,,2 Sommerreifen fehlen,2 summer tires are missing,,
,,,,,,Inkl. Rissbildung im Randbereich,Incl. Cracking in the edge area,,
,,,,,,Kratzer schleifen und polieren,Scratch grind and polish,,
,,,,,,SR montieren,Mount SR,,
,,,,,,Winterreifen unter 4mm,Winter tires under 4mm,,
,,,,,,Keine Polymerbeschichtung + falscher Geschwindigkeitindex,No polymer coating + false speed index,,
,,,,,,ohne Notlaufeigenschaften,without emergency run,,
,,,,,,Sommerreifen. Keine Polymerbeschichteten Reifen montiert.,Summer tires. No polymer-coated tires mounted.,,
,,,,,,Wolken und Schleifspuren,Clouds and grinding tracks,,
,,,,,,Schluessel Batterie ersetzen,Replace key battery,,
,,,,,,"Ohne Felge, montieren","Without rim, mount",,
,,,,,,Unzureichende Schließfunktion,Insufficient locking function,,
,,,,,,Steinschlag+starke Veraetzung,Rockfall + strong compensation,,
,,,,,,Abplatzung mit feiner Rissbildung im Sichtbereich.,Splendation with fine cracking in the field of view.,,
,,,,,,Inkl. Dachhimmel,Incl. Roof sky,,
,,,,,,Drucklos. Folgekosten moeglich.,Pressure. Subsequent costs possible.,,
,,,,,,Winterreifen. Keine Polymerbeschichteten Reifen montiert.,Winter tires. No polymer-coated tires mounted.,,
,,,,,,Daemmmatte OElwanne,Daemmatte Oelwanne,,
,,,,,,unterhalb NSW.,Below NSW.,,
,,,,,,mitte.,center.,,
,,,,,,Teer Reste sichtbar,Tar residues visible,,
,,,,,,Rostrand Bremsscheiben,Rostrand brake discs,,
,,,,,,2x Ganzjahresreifen profil kleiner 4mm,2x all-season tire profile smaller 4mm,,
,,,,,,Links & Rechts (Innenflanken verschlissen),Left & right (inside flank worn),,
,,,,,,Lueftungsgitter hinten,Lowering grille rear,,
,,,,,,Seit 03/20.,Since 03/20.,,
,,,,,,Schleifspuren im Lack,Grinding traces in the paint,,
,,,,,,Aussenseite,Outside,,
,,,,,,11/2019,11/2019,,
,,,,,,inkl. Blendrahmen Abgasrohr,incl. Shrub frame exhaust pipe,,
,,,,,,& Steinschlaege,& Stone slides,,
,,,,,,Und etliche Steinschlaege,And a number of stone slides,,
,,,,,,Beidseitig,On both sides,,
,,,,,,Und holm rechts,And holm right,,
,,,,,,Schluesselbatterie,Keyboard,,
,,,,,,Kalkulation liegt vor.,Calculation is available.,,
,,,,,,oberhalb. Folgekosten moeglich.,above. Subsequent costs possible.,,
,,,,,,03/2020.,03/2020.,,
,,,,,,"Harzflecken, vorbehaltlich Folgekosten moeglich","Resin stains, subject to subsequent costs possible",,
,,,,,,Große,Size,,
,,,,,,Beleuchtung ohne Funktion (Mehrkosten koennen entstehen),Lighting without function (additional costs can arise),,
,,,,,,Lackveraetzungen durch Blaetter,Paint releases through blaetter,,
,,,,,,Original Felgen. Material Abtragung.,Original rims. Material removal.,,
,,,,,,165/ 70 R14 81T,165/70 R14 81T,,
,,,,,,Kostenausweitung moeglich,Cost expansion possible,,
,,,,,,Innenseitig abgelaufen,Inside,,
,,,,,,01/2020,01/2020,,
,,,,,,Seit 03/2020.,Since 03/2020.,,
,,,,,,Falsches Blendendesign,Wrong diaphragm design,,
,,,,,,12.19,12.19,,
,,,,,,Lackmangel durch Firmenaufkleber und,Paint deficiency by company label and,,
,,,,,,Am 01.05.2020,On 01.05.2020,,
,,,,,,9 Bauteile,9 components,,
,,,,,,Seit 58 Tagen / 37 Tagen,Since 58 days / 37 days,,
,,,,,,Lack aufgekocht,Lacquer boiled,,
,,,,,,Kundeneigentum WR,Customer ownership WR,,
,,,,,,Sommerraeder Innenkante abgefahren,Summer wheeled inside edge,,
,,,,,,Inkl. Blende unten,Incl. Bezel below,,
,,,,,,Kostenerweiterung moeglich!,Cost expansion possible!,,
,,,,,,2. Radsatz,2. wheelset,,
,,,,,,Innen; Loch gebohrt,Inside; Hole drilled,,
,,,,,,Keine XL Bereifung,No XL tires,,
,,,,,,8 Bauteile,8 components,,
,,,,,,"Restlaufzeit <31Tage, <1000km","Remaining time <31 days, <1000km",,
,,,,,,Kappe,cap,,
,,,,,,AdBlue nachfuellen,AdBlue refuel,,
,,,,,,Kante gestaucht/vorbehaltlich Folgekosten,Edge compressed / subject to follow-up costs,,
,,,,,,Kante gestaucht,Edge compressed,,
,,,,,,Winter statt Sommerreifen montiert,Winter mounted instead of summer tires,,
,,,,,,Reifendruck pruefen,Tire pressure Prüfen,,
,,,,,,Motoroel wechsel restlaufzeit unter 1000 km,Motoroel change remaining term below 1000 km,,
,,,,,,Grundierung erkennbar,Primer recognizable,,
,,,,,,mit Materialabtrag,with material removal,,
,,,,,,"links, mit Materialabtrag","Left, with material removal",,
,,,,,,Delle an Kante; Folgekosten moeglich,Delle at edge; Subsequent costs possible,,
,,,,,,Motoroellebensdauer 9%,Motor cell life 9%,,
,,,,,,Dichtgummi,Sealing rubber,,
,,,,,,Motoroel In 1200km,Motoroel at 1200km,,
,,,,,,Luftduese hinte mitte,Auftuese Hinten Mitte,,
,,,,,,Leichte Lackrisse und Staubeinschluesse,Lightweight paint cracks and dust inclusion,,
,,,,,,Stoßfaenger hinten links,Shock Fenger rear left,,
,,,,,,Raucherfzg.,SmokerFZG.,,
,,,,,,Standschaden / Freibremsen,Standing damage / free brake,,
,,,,,,Druckstelle vorhanden Kostenerweiterung moeglich,Pressure available Cost extension possible,,
,,,,,,Rissbildung vorhanden,Rise formation available,,
,,,,,,Tueren vorne,Tueren front,,
,,,,,,Halterung Hutablage,Bracket hat,,
,,,,,,Saeureschaden,Seashore,,
,,,,,,inkl. Aufkleber entfernen,Incl. Remove sticker,,
,,,,,,Schrauben,Screw,,
,,,,,,Bohrloecher,Drilling,,
,,,,,,Schweller,Sill,,
,,,,,,inkl. Parksensor und Rueckstrahler instandsetzen,incl. Park sensor and refueling,,
,,,,,,Tiergeruch,Animal smell,,
,,,,,,rechts oben,top right,,
,,,,,,Restlauf <1000km,Residual run <1000km,,
,,,,,,Rissbildung im Randbereich,Cracking in the edge area,,
,,,,,,Und umzu Hundehaare,And over dog hair,,
,,,,,,"Sommerradsatz, Glanzgedreht","Summer wheelset, sheen-turned",,
,,,,,,27 Dellen,27 dents,,
,,,,,,Fußmatte,Mat,,
,,,,,,Delle war bereits bei Auslieferung vorhanden!,Delle was already available at delivery!,,
,,,,,,"Lackmangel, Schleifspuren","Paint deficiency, grinding tracks",,
,,,,,,"Frosch, Verzogen, Große Dellen","Frog, warped, big dents",,
,,,,,,Inkl. Heckspoiler,Incl. Tail spoilers,,
,,,,,,"OElwechsel, Restlaufzeit <31Tage, <1000km","Oil change, remaining time <31 days, <1000km",,
,,,,,,225/50 R18 95W Rollwiderstandsoptimiert,225/50 R18 95W rolling resistance optimized,,
,,,,,,"""BRAGA"" silber 7J x 18""","""Braga"" silver 7J x 18 """,,
,,,,,,& verschuerft,& shuffled,,
,,,,,,und Spoiler,and spoiler,,
,,,,,,Keine Ganzjahresreifen in 100V,No all-season tires in 100V,,
,,,,,,Kleiner 2mm,Small 2mm,,
,,,,,,Im Siebdruck,In screen printing,,
,,,,,,Kratzer unterhalb und Beklebung entfernen,Remove scratches below and remove,,
,,,,,,Lackschaden und,Paint damage and,,
,,,,,,Falscher Typ verbaut,Wrong type installed,,
,,,,,,"Lackstruktur wellig, Beule","Paint structure wavy, bump",,
,,,,,,"Sommerreifen, ummontage","Summer tires, recitation",,
,,,,,,Abdeckung rechts,Cover right,,
,,,,,,Staubeinschluss,Dust,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Hohe Anzahl an Steinschlaegen,High number of stone locks,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Isofix Abdeckung fehlt,Isofix cover is missing,,
,,,,,,Und Beklebung entfernen,And remove how,,
,,,,,,Hohe Anzahl an Steinschlaegen + entkleben,High number of stone locks + cancel,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Fahrer,driver,,
,,,,,,Tuergriff,Tu,,
,,,,,,Winter statt Sommerreifen,Winter instead of summer tires,,
,,,,,,erhoehte Anzahl,raised number,,
,,,,,,"Auslegen,polieren","Lay out, polish",,
,,,,,,Einrollfunktion geht nicht,Introduction function does not work,,
,,,,,,"Falscher Typ, WR statt SR","Wrong type, WR instead of SR",,
,,,,,,Und Lackmangel,And lack of paint,,
,,,,,,Lackstift Ausbesserung,Paint pen repair,,
,,,,,,Sommer feht,Summer turns,,
,,,,,,Abdeckung fuer AHK,Cover for AHK,,
,,,,,,Wasserabweiser rechts und links,Water deflector right and left,,
,,,,,,links und rechts Innenseite,Left and right inside,,
,,,,,,.4 Tage,.4 days,,
,,,,,,"Sommerraeder, starker Abrieb","Summerraeder, strong abrasion",,
,,,,,,Verschlissen/ ungleichmaeßiger Verschleiß,Worn / uneven wear,,
,,,,,,"Dach , Motorhaube","Roof, bonnet",,
,,,,,,"O5, Lacktiefenbehandlung","O5, lacquer depth treatment",,
,,,,,,"Lackstrucktur, wellig,","Paint print, wavy,",,
,,,,,,Reifen umziehen und Auswuchten,Move tires and balances,,
,,,,,,und innen eingedellt,and indoor indoor,,
,,,,,,Sommerreifen <2mm,Summer tires <2mm,,
,,,,,,Winterreifen <4mm,Winter tires <4mm,,
,,,,,,#NAME?,#NAME?,,
,,,,,,3 Dellen Großbuendig,3 dents bigbuendig,,
,,,,,,12/19/22,12/19/22,,
,,,,,,Spannungsrisse,Stress cracks,,
,,,,,,Rastet nicht ein,Does not lock,,
,,,,,,In 8 Tagen,In 8 days,,
,,,,,,wechsel,change,,
,,,,,,"Dellen, Kratzer und","Dents, scratches and",,
,,,,,,Abdeckung Motor hinten,Cover motor rear,,
,,,,,,Unvollstaendiges Regalsystem im Laderaum,Imperfect shelving system in the hold,,
,,,,,,Sortimo system verbaut,Sortimo system installed,,
,,,,,,Und Scheiben beklebt,And slices,,
,,,,,,Dachhimmel Abdeckung Fahrerhaus,Roof sky cover cab,,
,,,,,,"Schleifspuren,welliger Untergrund, verformt","Grinding tracks, wavy ground, deformed",,
,,,,,,Lack matt,Lacquer,,
,,,,,,Werkstatteinrichtung,Workshop,,
,,,,,,Regaleinbauten rueckruesten,Shelving installations Rückruesten,,
,,,,,,"Lackveraetzung, Kratzer.","Lacquer composition, scratches.",,
,,,,,,im Monat der Rueckgabe faellig,Faellig in the month of the return,,
,,,,,,Umweltschaeden,Environmental charter,,
,,,,,,"Wassereindrang, Kostenerweiterung moeglich","Water ingress, cost expansion possible",,
,,,,,,Fehlstellung. Mehrkosten moeglich,Missing position. Additional costs possible,,
,,,,,,Lackeinschluesse/ Orangenhaut / Mehrkosten moeglich,Paint influence / orange skin / additional costs possible,,
,,,,,,Kante vorne mit Korrosion. Folgekosten moeglich.,Edge front with corrosion. Subsequent costs possible.,,
,,,,,,"mitte, unten.","Middle, below.",,
,,,,,,verkratzt. Folgekosten nach zerlegen moeglich.,Scratched. Subsequent costs according to disassembly possible.,,
,,,,,,mit Korrosion. Folgekosten moeglich.,With corrosion. Subsequent costs possible.,,
,,,,,,Sommerreifen. Riss & Ausbrueche Aussenflanke.,Summer tires. Ripped & Outside Flanken.,,
,,,,,,Dekoreinlage,Decorative insert,,
,,,,,,Bremsfluessigkeitsservice seit 10/18,Brake fluid service since 10/18,,
,,,,,,Glas,Glass,,
,,,,,,Sitz hinten,Seat back,,
,,,,,,"Schwergaengig,Sonnenrollo geht nicht in Endstellung","Heavygar, Sonnenrollo does not go into end position",,
,,,,,,Inspektion und Oelwechselservice,Inspection and Oil change service,,
